countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Afghanistan,3.23329E-06,Asia,,,,Central_African_Republic,3.85991E-06,,Rwanda,1.82942E-06,39,,Belize,7.86501E-05,,,,,,,
Afghanistan,0,Asia,,,,Chad,4.09141E-07,,Angola,1.8792E-06,40,,America,7.86501E-05,,,,,,,
Afghanistan,2.97042E-06,Asia,,,,Chile,0.000106196,,Syria,1.91844E-06,41,,Benin,9.71636E-07,,,,,,,
Afghanistan,5.23109E-06,Asia,,,,China,1.85877E-07,,Uganda,2.04932E-06,42,,Africa,9.71636E-07,,,,,,,
Afghanistan,1.70865E-06,Asia,,,,Colombia,0.000100385,,Mozambique,2.05797E-06,43,,Bermuda,1.9922E-05,,,,,,,
Afghanistan,2.12924E-06,Asia,,,,Comoros,3.26632E-06,,Bhutan,2.09383E-06,44,,America,1.9922E-05,,,,,,,
Afghanistan,1.6035E-06,Asia,,,,Congo,3.98934E-06,,South_Korea,2.23123E-06,45,,Bhutan,2.09383E-06,,,,,,,
Afghanistan,3.04928E-06,Asia,,,,Costa_Rica,0.000105445,,Madagascar,2.45973E-06,46,,Asia,2.09383E-06,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Cote_dIvoire,3.08687E-06,,Anguilla,2.60622E-06,47,,Bolivia,4.65729E-05,,,,,,,
Afghanistan,2.31325E-06,Asia,,,,Croatia,0.000111079,,Zimbabwe,2.82226E-06,48,,America,4.65729E-05,,,,,,,
Afghanistan,2.28696E-06,Asia,,,,Cuba,2.93526E-06,,Cuba,2.93526E-06,49,,"Bonaire, Saint Eustatius and Saba",2.58105E-05,,,,,,,
Afghanistan,1.55093E-06,Asia,,,,Cura̤ao,7.44138E-05,,Saint_Vincent_and_the_Grenadines,3.01405E-06,50,,America,2.58105E-05,,,,,,,
Afghanistan,1.78751E-06,Asia,,,,Cyprus,5.5562E-05,,Cote_dIvoire,3.08687E-06,51,,Bosnia_and_Herzegovina,0.000106943,,,,,,,
Afghanistan,1.23548E-06,Asia,,,,Czechia,0.000151579,,Haiti,3.14569E-06,52,,Europe,0.000106943,,,,,,,
