countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Bosnia_and_Herzegovina,9.54257E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.63436E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.57347E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.87731E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.93881E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.36232E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,8.75493E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.21055E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.51348E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.63496E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.33233E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.87762E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.27174E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.24084E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.24114E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.60497E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.66586E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.90851E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.81733E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.33263E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.9994E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.60527E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.75704E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.81763E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.36322E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.15117E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.84793E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.45411E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.84793E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.66616E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.4844E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.27053E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.08816E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.12087E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.3911E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.63526E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.30264E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.84702E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.33233E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.24114E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.84702E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.72645E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.66465E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,8.48228E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.75584E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.02939E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.51469E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.72645E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.75584E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.05877E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.4529E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.54408E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.84702E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.24114E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.66465E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.08816E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.36171E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.06029E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.96759E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.84702E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.57347E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.57347E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.66465E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.30264E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.24205E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.21175E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.05877E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.09028E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.14996E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.75704E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.57347E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.05998E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.05968E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.27053E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.45411E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.3911E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.9691E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.12057E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.39352E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,8.17934E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.21175E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.3911E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.54408E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.33293E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.75704E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.57528E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,8.17934E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.36322E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.36171E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.78734E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.42381E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.87641E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.78734E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.06029E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.60527E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.69404E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.3911E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.39352E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.63587E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.05998E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.54499E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.81763E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.08816E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.9994E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,7.27053E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.05877E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.21175E-05,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.72645E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.99698E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.81763E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.99698E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.08816E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,5.4529E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.72645E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,1.51469E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,2.72645E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,9.08816E-07,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,4.54408E-06,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,0,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,3.02939E-07,Europe,,,,,,,,,,,,,,,,,,,
Bosnia_and_Herzegovina,6.05877E-07,Europe,,,,,,,,,,,,,,,,,,,
Botswana,0.000228762,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000660241,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,7.81351E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000172765,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000213135,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000381126,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000169293,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000517862,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000155836,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.00015627,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000136302,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000159309,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.8119E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.94212E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000135868,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000585145,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000108955,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000153666,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.51447E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,9.15917E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,5.46946E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,5.38264E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000120675,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,3.95016E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,3.08199E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0.000110257,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.08039E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,6.42444E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,6.81511E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.55788E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.82154E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.30064E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,7.11897E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,5.33923E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,3.68971E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,1.69293E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.0836E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.25724E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.17042E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,1.5627E-05,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.24759E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,5.209E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.6045E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.68167E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.68167E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,1.30225E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.17042E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,1.73633E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.68167E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.17042E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.68167E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,2.6045E-06,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,8.68167E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,0,Africa,,,,,,,,,,,,,,,,,,,
Botswana,4.34084E-07,Africa,,,,,,,,,,,,,,,,,,,
Botswana,1.30225E-06,Africa,,,,,,,,,,,,,,,,,,,
Brazil,0.000242066,America,,,,,,,,,,,,,,,,,,,
Brazil,9.65224E-05,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000124914,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000204734,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000222147,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000238968,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000236262,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000241218,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000100157,America,,,,,,,,,,,,,,,,,,,
Brazil,0.000115935,America,,,,,,,,,,,,,,,,,,,
